Data/Hora,Protocolo,IP Origem,IP Destino,Detalhes,Tamanho
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:03,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:03,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:04,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:04,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:04,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:04,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:04,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:04,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:04,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:04,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:04,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
2025-11-20 18:44:04,HTTP,172.31.66.101,151.101.250.132,Fragmento HTTP,40
2025-11-20 18:44:04,HTTP,151.101.250.132,172.31.66.101,Fragmento HTTP,1468
